mhs_nrp,keg_kode
216170297,KER0078
216170309,KER0078
216170319,KER0078
216170329,KER0078
216170339,KER0078
216180367,KER0078
215116408,KER0079
215116414,KER0079
215116417,KER0079
215116418,KER0079
215116422,KER0079
215116431,KER0079
215116436,KER0079
215116441,KER0079
215116445,KER0079
215116450,KER0079
215116471,KER0079
215116485,KER0079
215120618,KER0079
215120631,KER0079
215170277,KER0079
215170278,KER0079
215170279,KER0079
215170289,KER0079
216116496,KER0079
216116504,KER0079
216116516,KER0079
216116521,KER0079
216116526,KER0079
216170321,KER0079
216170337,KER0079
216170347,KER0079
217102591,KER0079
217116566,KER0079
217116567,KER0079
217116577,KER0079
217116582,KER0079
217116583,KER0079
217116585,KER0079
217116593,KER0079
217116595,KER0079
217116597,KER0079
217116605,KER0079
217116609,KER0079
217116613,KER0079
217116620,KER0079
217116621,KER0079
217116629,KER0079
217116633,KER0079
217116653,KER0079
217116654,KER0079
217116657,KER0079
217116663,KER0079
217116667,KER0079
217120663,KER0079
217140073,KER0079
217140074,KER0079
217140075,KER0079
217140076,KER0079
217140079,KER0079
217170355,KER0079
217170357,KER0079
217170370,KER0079
217170375,KER0079
217170379,KER0079
217170391,KER0079
217180387,KER0079
217180390,KER0079
217180403,KER0079
213140024,KER0080
214116287,KER0080
214116307,KER0080
214116358,KER0080
214120606,KER0080
214120616,KER0080
214170214,KER0080
214170248,KER0080
215116410,KER0080
215120619,KER0080
215120629,KER0080
216011661,KER0080
216102586,KER0080
216116490,KER0080
216116523,KER0080
216116525,KER0080
216116534,KER0080
216116542,KER0080
216116564,KER0080
216120639,KER0080
216120657,KER0080
216140061,KER0080
216170301,KER0080
216170303,KER0080
216170320,KER0080
216170325,KER0080
216170327,KER0080
216170332,KER0080
217011674,KER0080
217116574,KER0080
217116641,KER0080
217120664,KER0080
217120667,KER0080
217120668,KER0080
217120670,KER0080
217140070,KER0080
217170361,KER0080
217180378,KER0080
215116417,KER0081
215116422,KER0081
215116436,KER0081
215116441,KER0081
215116450,KER0081
215116471,KER0081
215116485,KER0081
215120618,KER0081
215120631,KER0081
215170279,KER0081
214011645,KER0082
214116299,KER0082
214116304,KER0082
214116395,KER0082
214116396,KER0082
214170217,KER0082
214170232,KER0082
214170233,KER0082
214170249,KER0082
214170251,KER0082
215116411,KER0082
215116415,KER0082
215116423,KER0082
215116446,KER0082
215116452,KER0082
215116453,KER0082
215116483,KER0082
215140058,KER0082
215170264,KER0082
215170268,KER0082
215170274,KER0082
215170282,KER0082
215170283,KER0082
215170285,KER0082
215180347,KER0082
215180350,KER0082
215180352,KER0082
215180353,KER0082
215180357,KER0082
215180360,KER0082
215180361,KER0082
215180362,KER0082
216011660,KER0082
216116518,KER0082
216116536,KER0082
216116537,KER0082
216116540,KER0082
216116541,KER0082
216116550,KER0082
216116556,KER0082
216116563,KER0082
216120641,KER0082
216120643,KER0082
216120648,KER0082
216120658,KER0082
216140062,KER0082
216140064,KER0082
216140066,KER0082
216140069,KER0082
216170293,KER0082
216170304,KER0082
216170311,KER0082
216170313,KER0082
216170318,KER0082
216170328,KER0082
216170331,KER0082
216170338,KER0082
216170340,KER0082
216170344,KER0082
216170345,KER0082
216180368,KER0082
216180370,KER0082
216180372,KER0082
216180373,KER0082
217011670,KER0082
217011673,KER0082
217102590,KER0082
217116565,KER0082
217116568,KER0082
217116570,KER0082
217116575,KER0082
217116576,KER0082
217116584,KER0082
217116590,KER0082
217116592,KER0082
217116597,KER0082
217116599,KER0082
217116600,KER0082
217116602,KER0082
217116603,KER0082
217116606,KER0082
217116611,KER0082
217116612,KER0082
217116616,KER0082
217116617,KER0082
217116623,KER0082
217116624,KER0082
217116625,KER0082
217116626,KER0082
217116629,KER0082
217116630,KER0082
217116631,KER0082
217116632,KER0082
217116635,KER0082
217116636,KER0082
217116637,KER0082
217116638,KER0082
217116640,KER0082
217116646,KER0082
217116651,KER0082
217116652,KER0082
217116655,KER0082
217116658,KER0082
217116660,KER0082
217116665,KER0082
217116666,KER0082
217116668,KER0082
217116669,KER0082
217116670,KER0082
217120662,KER0082
217120665,KER0082
217140071,KER0082
217140077,KER0082
217140078,KER0082
217140080,KER0082
217170348,KER0082
217170349,KER0082
217170350,KER0082
217170351,KER0082
217170354,KER0082
217170356,KER0082
217170357,KER0082
217170359,KER0082
217170360,KER0082
217170362,KER0082
217170365,KER0082
217170366,KER0082
217170367,KER0082
217170369,KER0082
217170376,KER0082
217170378,KER0082
217170383,KER0082
217170388,KER0082
217170393,KER0082
217170395,KER0082
217170396,KER0082
217170397,KER0082
217180378,KER0082
217180379,KER0082
217180381,KER0082
217180384,KER0082
217180386,KER0082
217180388,KER0082
217180389,KER0082
217180391,KER0082
217180392,KER0082
217180393,KER0082
217180394,KER0082
217180396,KER0082
217180398,KER0082
217180402,KER0082
217180406,KER0082
217180408,KER0082
214102559,KER0083
214116286,KER0083
215116408,KER0083
215116414,KER0083
215116417,KER0083
215116418,KER0083
215116436,KER0083
215116441,KER0083
215116445,KER0083
215116450,KER0083
215116471,KER0083
215116485,KER0083
215120618,KER0083
215120628,KER0083
215120631,KER0083
215170277,KER0083
215170278,KER0083
215170289,KER0083
215170290,KER0083
216116496,KER0083
216116499,KER0083
216116504,KER0083
216116516,KER0083
216116519,KER0083
216116521,KER0083
216116526,KER0083
216116538,KER0083
216116543,KER0083
216170321,KER0083
216170347,KER0083
216180377,KER0083
217102588,KER0083
217102591,KER0083
217102592,KER0083
217116566,KER0083
217116571,KER0083
217116577,KER0083
217116579,KER0083
217116582,KER0083
217116583,KER0083
217116585,KER0083
217116586,KER0083
217116587,KER0083
217116588,KER0083
217116589,KER0083
217116593,KER0083
217116595,KER0083
217116596,KER0083
217116604,KER0083
217116605,KER0083
217116607,KER0083
217116609,KER0083
217116615,KER0083
217116619,KER0083
217116620,KER0083
217116621,KER0083
217116622,KER0083
217116633,KER0083
217116642,KER0083
217116643,KER0083
217116653,KER0083
217116654,KER0083
217116656,KER0083
217116657,KER0083
217116663,KER0083
217116671,KER0083
217120663,KER0083
217120669,KER0083
217120671,KER0083
217120673,KER0083
217140072,KER0083
217140073,KER0083
217140074,KER0083
217140075,KER0083
217140076,KER0083
217140079,KER0083
217170352,KER0083
217170358,KER0083
217170363,KER0083
217170370,KER0083
217170371,KER0083
217170374,KER0083
217170375,KER0083
217170379,KER0083
217170385,KER0083
217170390,KER0083
217170391,KER0083
217180380,KER0083
217180387,KER0083
217180390,KER0083
217180397,KER0083
217180403,KER0083
217180405,KER0083
215116471,KER0084
213116271,KER0085
215120629,KER0085
215120633,KER0085
215140043,KER0085
216011661,KER0085
216102583,KER0085
216102586,KER0085
216102587,KER0085
216116490,KER0085
216116525,KER0085
216116542,KER0085
216116545,KER0085
216116549,KER0085
216116564,KER0085
216120639,KER0085
216120657,KER0085
216140063,KER0085
216140067,KER0085
216170301,KER0085
216170303,KER0085
216170320,KER0085
216170323,KER0085
216170325,KER0085
216170327,KER0085
216170332,KER0085
217011672,KER0085
217011674,KER0085
217102593,KER0085
217116574,KER0085
217116578,KER0085
217116598,KER0085
217116639,KER0085
217116641,KER0085
217120664,KER0085
217120667,KER0085
217120668,KER0085
217120670,KER0085
217120672,KER0085
217170355,KER0085
217170361,KER0085
217170382,KER0085
217170384,KER0085
217180382,KER0085
217180400,KER0085
217180401,KER0085
214116294,KER0086
214116339,KER0086
214116360,KER0086
215116433,KER0086
216116493,KER0086
216116497,KER0086
216116500,KER0086
216116522,KER0086
216116532,KER0086
216116533,KER0086
216116534,KER0086
216120649,KER0086
216170296,KER0086
216170297,KER0086
216170309,KER0086
216170319,KER0086
216170329,KER0086
216180367,KER0086
217102589,KER0086
217102595,KER0086
217116569,KER0086
217116573,KER0086
217116594,KER0086
217116627,KER0086
217116645,KER0086
217116647,KER0086
217116650,KER0086
217116659,KER0086
217116661,KER0086
217116662,KER0086
217120666,KER0086
217170353,KER0086
217170364,KER0086
217170372,KER0086
217170373,KER0086
217170377,KER0086
217170386,KER0086
217170389,KER0086
217170392,KER0086
217170394,KER0086
217180383,KER0086
217180395,KER0086
217180399,KER0086
217180407,KER0086
216011661,KER0087
216102583,KER0087
216102586,KER0087
216120642,KER0087
216120657,KER0087
216170301,KER0087
217011672,KER0087
217011674,KER0087
217011675,KER0087
217102593,KER0087
217120664,KER0087
217120667,KER0087
217120668,KER0087
217120670,KER0087
217120672,KER0087
217170361,KER0087
217180382,KER0087
217180401,KER0087
215180362,KER0088
214116339,KER0089
214116360,KER0089
215116433,KER0089
216116493,KER0089
216116513,KER0089
216116533,KER0089
217102589,KER0089
217102595,KER0089
217116594,KER0089
217116627,KER0089
217116650,KER0089
217116659,KER0089
217116661,KER0089
217170372,KER0089
217170373,KER0089
217170394,KER0089
218116683,KER0089
218116697,KER0089
218116708,KER0089
218116722,KER0089
218116738,KER0089
218116745,KER0089
218116755,KER0089
218116756,KER0089
218116772,KER0089
218140085,KER0089
218170405,KER0089
218170406,KER0089
218170408,KER0089
218170410,KER0089
218170416,KER0089
218170449,KER0089
218170452,KER0089
218180424,KER0089
218180430,KER0089
218180437,KER0089
216116542,KER0090
216120642,KER0090
217011672,KER0090
217011674,KER0090
217011675,KER0090
217116639,KER0090
217116641,KER0090
217120664,KER0090
217120667,KER0090
217120668,KER0090
217120670,KER0090
217120672,KER0090
217170384,KER0090
217180382,KER0090
217180401,KER0090
218116700,KER0090
218116718,KER0090
218116729,KER0090
218116733,KER0090
218116734,KER0090
218116744,KER0090
218116748,KER0090
218116766,KER0090
218120674,KER0090
218120675,KER0090
218120678,KER0090
218120681,KER0090
218140084,KER0090
218170421,KER0090
218170423,KER0090
218170441,KER0090
218170446,KER0090
218180410,KER0090
218180412,KER0090
218180426,KER0090
218180431,KER0090
218180439,KER0090
214102559,KER0091
215116414,KER0091
215116417,KER0091
215116441,KER0091
215116450,KER0091
215116471,KER0091
215120628,KER0091
215120631,KER0091
215170279,KER0091
215170290,KER0091
216116496,KER0091
216116499,KER0091
216116516,KER0091
216116519,KER0091
216116521,KER0091
216116526,KER0091
216116536,KER0091
216116538,KER0091
216116543,KER0091
216170321,KER0091
216170337,KER0091
216170347,KER0091
216180377,KER0091
217116566,KER0091
217116577,KER0091
217116583,KER0091
217116607,KER0091
217116613,KER0091
217116621,KER0091
217116653,KER0091
217116657,KER0091
217140073,KER0091
217140074,KER0091
217140075,KER0091
217170375,KER0091
